timestamp,text,hashtags
1576419240,Playing a high line against this Utd team is asking for trouble.#EFC,#EFC
1576419262,Good to see big Dunc looks as if he is dressed like he is off to court for whacking someone! #EFC,#EFC
1576419365,"@johntomouk @DavefcKelly @neilsmithgmb @SFoodbanks @MetroMayorSteve @AndyBurnhamGM @mufcfoodbank @billyliar9 @MU_ST @spiritofshankly @TheBlueUnion @Unite_NorthWest @gmbnwi @Brasstub Spot On Brother\ud83d\udc4f\u270a,Plus Given The #DemocraticDeathKnell Dealt To Our Class Last Thursday #WorkingClassUnity &amp; #FanActivisim Will Be A Vital Lifeline For The Millions Left To Die By The #JohnsonJunta #SolidarityIsMoreThanJustAWord\u270a#HungerDoesentWearClubColours\ud83d\udc99\u2764\ud83d\udc9c#NSNO #EFC",#EFC
1576419452,"Bernard has to be doing more here, good to see DCL making that point to him. #EFC",#EFC
1576419488,Just surprised Oliver didn\u2019t book Keane and give a penalty there! #EFC,#EFC
1576419492,Everton fans at Old Trafford today making it clear to Moshiri they don\u2019t want David Moyes #EFC  https://t.co/6cHaGpESgd,#EFC
1576419556,Richarlison limping. #EFC could really do without any more bad luck on injury front...,#EFC
1576419658,Live view of our midfield everytime United launch an attack#EFC #MUNEVE https://t.co/tzpAOovLzd,#EFC
1576419831,Glad to see we're man marking from set pieces now! Fuck that zonal shite #EFC,#EFC
1576419834,Early sub. Lucas Digne has succumbed to his groin injury. Replaced by Baines#UHTPodcast #EFC #COYB #Everton,#EFC
1576419838,One more injury away from Cuco getting a game here. #EFC,#EFC
1576419866,Dunc is gonna have to sub himself on at this rate.#EFC #MUNEVE,#EFC
1576419896,We won\u2019t be able to put a full side out soon at this rate. #EFC,#EFC
1576419898,"Digne can\u2019t battle through the groin injury any longer, Baines coming on. When it rains, it pours. #EFC #COYB",#EFC
1576419899,TIME FOR HEROES. #EFC,#EFC
1576419905,Digne off. With the number of players missing it will be a minor miracle if Ferguson can eek out any result here. #mufc #EFC,#EFC
1576419905,\ud83d\udd1b Duncan Ferguson is forced into a change as Leighton Baines replaces the injury Lucas Digne #EFC #MUNEVE https://t.co/fRRxgvsnmO,#EFC
1576419926,Davies red card waiting to happen #EFC,#EFC
1576419991,Davies will get sent of before half time here the way it going #EFC #MUNEVE  i\u2019d be half tempted take him off,#EFC
1576420007,1 midfielder left and he can\u2019t even make a tackle now as he\u2019s on his last warning \ud83d\ude48 #EFC,#EFC
1576420010,Tom Davies is one foul away from a red card and all we have on the bench are strikers and Cuco Martina \ud83e\udd26\ud83c\udffb\u200d\u2642\ufe0f #EFC,#EFC
1576420012,I don't know who can come on but Tom Davies needs to go off before he is sent off. Always looks reckless in the tackle but today he is one minor tackle away from a red card. #EFC,#EFC
1576420014,Picksave!!#EFC #MUNEVE,#EFC
1576420040,How is Tom Davies still on the field?! #EFC #MUFC,#EFC
1576420044,Just relax lads... that\u2019s all. #EFC,#EFC
