timestamp,text,hashtags
1576419230,How quick is Dan James \ud83d\ude33 #MUFC #MUNEVE,#MUFC
1576419230,Watching the game &amp; rooting for United \ud83e\udd7a\ud83d\udd34\u2764. Hope the boys win today #MUFC https://t.co/NRGJv7qG2S,#MUFC
1576419231,Next to score: Wolves#MUNEVE,#MUNEVE
1576419234,A combination of Rashford and James is lethal.#MUNEVE #GGMU#MUFC,#MUNEVE
1576419234,Pickford's positioning is woeful. Hasn't a clue whether to come off his line or not at any time. #MUNEVE,#MUNEVE
1576419237,@goalstv3 @GTVWorld Link streaming #MUNEVE?,#MUNEVE
1576419239,#MUFC win#COYS win#PremierLeagueNaESPN,#MUFC
1576419240,Playing a high line against this Utd team is asking for trouble.#EFC,#EFC
1576419241,"#MUNEVE: 11' WIDE! Jordan Pickford stays at home, but he's got his near post covered so James has to aim for the far and sends it a few yards wide. @ManUtd 0-0 @Everton#PremierLeague #PL #ManUtd #ManUnited #Everton #MUFC",#MUNEVE
1576419242,\ud83c\udfdf\ufe0f https://t.co/H4yFsZ7bLR 18+Join our members and get your footy stats!#MUNEVE #WOLTOT #ARSMCI #ASSEPSG #WOLBMG #S04SGE #JuveUdinese #FiorentinaInter #RomaSPAL #FEYPSV #AZAJA #ValenciaRealMadrid #SevillaVillarreal https://t.co/JZ4XthcII5,#MUNEVE
1576419243,Manchester United vs Everton#MUNEVE #WOLTOT@@@@@\ud83c\udfc6 \u2716\ufe0f \u26bdWatch For FREE Champions League \ud83d\udce1+-+-+\u2022 Mobile \ud83d\udcf1\u27a4 https://t.co/H8g5PLu5Xf\u2022 PC \ud83d\udda5\u27a4 https://t.co/H8g5PLu5Xf\u2022 HD \ud83d\udcf1\u27a4 https://t.co/H8g5PLu5Xf https://t.co/ZhVQTysHZ0,#MUNEVE
1576419244,\ud83d\udcb0 Tipbet \u20ac5 No Deposit Free Bet \ud83d\udcb0\u2705 Use Bonus Code: betandskill5\ud83d\udcf2 https://t.co/rEIVCMYLvY+ 100% match bonus up to \u20ac100#betting #freebet #bonus #coupon #voucher #freebets #MUNEVE #WOLTOT #COYS #Spurs #MUFC #ARSMCI #MCFC #COYG #PremierLeague #SerieAT&amp;Cs apply 18+ https://t.co/BR0pFvm9mt,#MUNEVE
1576419247,Hardly a surprise for #MUFC!  Unchanged side for the Reds from last Saturday night's #ManchesterDerby win! \ud83d\udd34\u26aa\u26ab,#MUFC
1576419247,Me after watching Lindelof and McTominay play those passes #MUFC #MUNEVE #PL https://t.co/xJPC8nmr3d,#MUFC
1576419253,Two good chances missed there from Rashford and James #MUFC,#MUFC
1576419257,We\u2019re so static against lesser sides #ManUtd #MUNEVE,#MUNEVE
1576419257,Live \ud83c\udfc6 #MUNEVE #WOLTOTManchester United vs EvertonDirect links HD\ud83c\udfc6 \u2694 \u26bd\ud83d\udd34Broadband links \u2193\u00b7\u00b7\ud83d\udcf2 Mobile\u2193https://t.co/lHJilmtlKpComputer\u2193https://t.co/lHJilmtlKpRTWET \ud83d\udd04+ LIKE\u2764\ufe0f https://t.co/koK6ROt65N,#MUNEVE
1576419258,Martial... Good one boy#MUNEVE,#MUNEVE
1576419261,"If there were no foodbanks, they would STILL be singing \u201cfeed the Scousers\u201d #MUFC #EFC",#MUFC
1576419262,Good to see big Dunc looks as if he is dressed like he is off to court for whacking someone! #EFC,#EFC
1576419264,Jordan Pickford is looking a little chubby ain\u2019t he?\ud83d\ude02#MUNEVE,#MUNEVE
1576419265,10 minute : Daniel James has a great chance one on one chance with Pickford but his shot arrows past the far post . #MUNEVE,#MUNEVE
1576419269,"nice move from united again, this is great the team work with the passing. im happy how we're playing right now. COME ON YOU REDS #MUFC",#MUFC
1576419269,Hardly a surprise for #MUFC! Unchanged side for the Reds from last Saturday night's #ManchesterDerby win! \ud83d\udd34\u26aa\u26ab,#MUFC
1576419272,Almost!#MUFC,#MUFC
1576419273,Fred is good enough\ud83d\udc4c #MUNEVE,#MUNEVE
1576419273,I'm sorry but Rashford can't be faster  with that James sprint.#MUNEVE,#MUNEVE
1576419278,Red all the way!#MUNEVE #MUFC https://t.co/Mp5mpMgvrI,#MUNEVE
1576419279,Anyone's Sky Broadcast playing up? Kinda glitching noises and resolution keeps changing. #MUNEVE,#MUNEVE
1576419279,"We are destroying their back line, need to start putting these chances away #MUFC #MUNEVE",#MUFC
1576419280,"If Duncan Ferguson doesn\u2019t become @Everton manager then so be it. But you would always want a manager who shows the importance of playing for the shirt no matter what. Not a cheerleader,just a passionate person who wants what\u2019s best #MUNEVE",#MUNEVE
1576419283,Feels like the type of game where we'll feel Pogba's absence #MUNEVE,#MUNEVE
1576419284,How                       howwe see                  OpponentsDan james.          See him#MUFC https://t.co/605xFs2Qq6,#MUFC
