timestamp,text,hashtags
1576336315,Any links for the villa game? hesgoal being very tempremental \ud83d\ude44 #AVFC,#AVFC
1576336321,Anyone ever seen Wesley jump ? #AVFC,#AVFC
1576336352,We appear to have forgotten how to pass #AVFC #SHUAVL,#AVFC
1576336360,"13' | Sheffield United are testing Villa with crosses but @BjornEngels and @Kortney_30 have stood firm so far. Norwood has been booked for the hosts, after two early fouls in quick succession. \u2694\ufe0f 0-0 \ud83e\udd81 #SHUAVL #AVFC https://t.co/qJdA1IurQO",#AVFC
1576336395,This is not the same #AVFC. We are now getting the basics wrong,#AVFC
1576336434,#Follow #FollowBack #Footy #Football #Keyrings #Sports #AVFC #MUFC #AFC #CFC #MCFC #Chelsea #Villa #ManU #ManCity Pls RT!!,#AVFC
1576336441,Poor foul from Norwood dear me #AVFC,#AVFC
1576336463,My captain \ud83d\udcaaNever fails to have the opposition fans on strings \ud83e\udd81#AVFC #SHUAVL https://t.co/neeTeubFod,#AVFC
1576336498,13 minutes gone here and the way the game has gone so far doesn\u2019t fill me with much confidence.Sheff Utd are bossing the game &amp; we haven\u2019t strung 3 passes together yet.No threat at all going forward. Hopefully it will click........soon.  #AVFC,#AVFC
1576336510,Targett is prone to a panicked first time ball.. #AVFC,#AVFC
1576336523,Don't understand why our passing has been so off recently.  #AVFC,#AVFC
1576336571,We do not look good. Massive lack of belief in this side. Neither the attack or defence seems to trust in its ability to do anything with any great confidence #AVFC,#AVFC
1576336592,We do struggle playing against 3 at the back.  #AVFC,#AVFC
1576336603,We\u2019re literally shitting ourselves as soon as we get beyond the half way line #AVFC #SHUAVL,#AVFC
1576336637,"I know most of you love smith, but at what point do we start to ask questions? #AVFC",#AVFC
1576336657,Guilbert and El Ghazi just not on the same wavelength at all. Awful pass success rate #AVFC,#AVFC
1576336665,Our passing has been extremely poor so far. Seems like we are lacking confidence. #AVFC #SHUAVL,#AVFC
1576336671,\u23f117' | Sheffield U. 0-0 Aston Villa\ud83d\udd36\ufe0f Fleck recibe amarilla. #AVFC #SUFC #PL #SHUAVL,#AVFC
