timestamp,text,hashtags
1576419251,Lucas Moura spins a few defenders and fired it into the roof of the net \ud83d\udd25 #WOLTOT https://t.co/0r7OwnJrB3,#WOLTOT
1576419256,\u26bd\ufe0f vs. Burnley\u26bd\ufe0f vs. WolvesLucas Moura has scored in consecutive #PL games for the first time since August 2018. \ud83c\udde7\ud83c\uddf7 #THFC #WOLTOT https://t.co/1NefeDSzjE,#WOLTOT
1576419258,"Nice to see us pressing, especially when it pays off #WOLTOT  #coys",#WOLTOT
1576419277,An assist for Dier!!! He's contributed something!!! Yay!!!! #WOLTOT #COYS #THFC,#WOLTOT
1576419280,GOAL Wolverhampton 0-[1] Tottenham (8 mins)Lucas Moura marque#WOLTOT,#WOLTOT
1576419283,#WOLTOT best live system to watch anyone ? And safe,#WOLTOT
1576419287,Every time Lucas Moura scores I can\u2019t help but think of THAT goal every single time \ud83d\ude2d #WOLTOT #THFC,#WOLTOT
1576419321,Live Streaming HD. Link Tottenham Streams https://t.co/mITD6LROJJhttps://t.co/WBdJYDmLF9Enjoy \ud83d\ude09 #WOLTOT #SPURS #THFC https://t.co/AOgOFb9TaW,#WOLTOT
1576419330,We need someone for Adama #WOLTOT,#WOLTOT
1576419331,"GOAL! Wolves 0-1 Spurs (8 mins)Lucas Moura runs at goal from the right, beats a number of Wolves defenders and lashes a fierce shot into the roof of the net#WOLTOT",#WOLTOT
1576419336,@SpursOfficial STREAM LIVE &gt;&gt; Wolves vs Tottenham Live Stream premier league 2019 Online Live Streaming Links Full HD #WOLTOT#COYS #PL #PremierLeague #TottenhamHotspur https://t.co/EhrOkv7lpF,#WOLTOT
1576419339,\u26bd\ufe0f vs. Burnley\u26bd\ufe0f vs. WolvesLucas Moura has scored in consecutive #PL games for the first time since August 2018. \ud83c\udde7\ud83c\uddf7 #THFC #WOLTOT https://t.co/Wd0OlNFnuB,#WOLTOT
1576419344,"15' | #WOL 0-1 #TOTAdama with a sight of goal as he looks to bring Wolves level, he cuts inside from the right flank and fires a low left-footed effort towards goal but it's saved by Gazzaniga.#WOLTOT",#WOLTOT
