timestamp,text,hashtags
1576419235,Superb #COYS,#COYS
1576419241,What a sick goal. Moura scoring quite often these days.You just love to see it.#COYS#WOLTOT\u26bd\ufe0f,#COYS
1576419243,Brother and I will not be watching the game live today but we\u2019ll be watching it later on and giving all our thoughts &amp; commentary then \ud83d\ude0a #COYS #WOLTOT,#COYS
1576419245,"@thespursweb the hunger, the intensity love the guy when he's in this mood #COYS",#COYS
1576419249,Come on you spurs!! Man who is this club that scores in the first 10\u2019!!! #COYS,#COYS
1576419251,Lucas Moura spins a few defenders and fired it into the roof of the net \ud83d\udd25 #WOLTOT https://t.co/0r7OwnJrB3,#WOLTOT
1576419256,\u26bd\ufe0f vs. Burnley\u26bd\ufe0f vs. WolvesLucas Moura has scored in consecutive #PL games for the first time since August 2018. \ud83c\udde7\ud83c\uddf7 #THFC #WOLTOT https://t.co/1NefeDSzjE,#WOLTOT
1576419258,"Nice to see us pressing, especially when it pays off #WOLTOT  #coys",#WOLTOT
1576419273,Lucas Moura for Tottenham in the Premier League this season:Under Mauricio Pochettino - 1 goalUnder Jose Mourinho - 3 goals The Special One is at it again \ud83d\udcab#COYS #WOLTOT #PL https://t.co/1YS0zQuu9s,#COYS
1576419274,\ud83d\ude80\ud83d\udd25 That was delicious @LucasMoura7 #COYS #THFC https://t.co/e3zAMAa1Zt,#COYS
1576419277,An assist for Dier!!! He's contributed something!!! Yay!!!! #WOLTOT #COYS #THFC,#WOLTOT
1576419278,"Had my doubts about Jose but he hasn\u2019t changed too much, we\u2019re scoring more goals than under Poch. All good so far #COYS #THFC #WOLTOT",#COYS
1576419280,GOAL Wolverhampton 0-[1] Tottenham (8 mins)Lucas Moura marque#WOLTOT,#WOLTOT
1576419283,#WOLTOT best live system to watch anyone ? And safe,#WOLTOT
1576419284,HELP!  CAnt get planet stream to work. Can\u2019t find a direct link on here. HELP!!! #COYS #THFC,#COYS
1576419284,Lucas Moura has scored three goals in his five Premier League matches under Jose Mourinho. He only had one goal in 10 Premier League appearances for Spurs with Pochettino in charge this season. Rejuvenated. (Opta)#SpecialOne #THFC #COYS https://t.co/cGSMpy2Lw6,#COYS
1576419287,Every time Lucas Moura scores I can\u2019t help but think of THAT goal every single time \ud83d\ude2d #WOLTOT #THFC,#WOLTOT
1576419300,\u2705 #THFC have won three of their first four #PL matches under Jose Mourinho\u2716\ufe0f Although they're amid a run of 10 losses in 14 PL away games\ud83d\udc3a #WWFC are unbeaten in 11 PL outings\u27a1\ufe0f A draw is available at 13/5 for #WOLTOT today https://t.co/ENBDooxITh,#WWFC
1576419306,Away wins be damned. The one true way I'll know Spurs are moving in the right direction is when they finally score from a set piece. #COYS #THFC,#COYS
1576419313,Amazing goal by Lucas Moura #COYS https://t.co/RQ3LwgGUlH,#COYS
1576419321,Live Streaming HD. Link Tottenham Streams https://t.co/mITD6LROJJhttps://t.co/WBdJYDmLF9Enjoy \ud83d\ude09 #WOLTOT #SPURS #THFC https://t.co/AOgOFb9TaW,#WOLTOT
1576419322,Video: Moura's powerful strike puts Spurs 1-0 up at Wolves #THFC #COYS https://t.co/vW7pXO5bjg,#COYS
1576419323,"When jose come to spurs everyone says \""now you've the bus bro\"" lmao. Sorry spurs hv philosophy football but more aggressive \ud83d\ude01\u270c\ud83c\udffb #COYS",#COYS
1576419327,Tottenham Hotspur attacker Lucas Moura has scored three goals in his five Premier League matches under Jose Mourinho.He only had one goal in 10 Premier League appearances for Spurs with Pochettino in charge this season. Rejuvenated \ud83d\udc99\ud83d\ude4c[@OptaJoe]#THFC #COYS #WOLTOT https://t.co/srD6sJS52F,#COYS
1576419330,We need someone for Adama #WOLTOT,#WOLTOT
1576419331,"GOAL! Wolves 0-1 Spurs (8 mins)Lucas Moura runs at goal from the right, beats a number of Wolves defenders and lashes a fierce shot into the roof of the net#WOLTOT",#WOLTOT
1576419336,@SpursOfficial STREAM LIVE &gt;&gt; Wolves vs Tottenham Live Stream premier league 2019 Online Live Streaming Links Full HD #WOLTOT#COYS #PL #PremierLeague #TottenhamHotspur https://t.co/EhrOkv7lpF,#WOLTOT
1576419339,\u26bd\ufe0f vs. Burnley\u26bd\ufe0f vs. WolvesLucas Moura has scored in consecutive #PL games for the first time since August 2018. \ud83c\udde7\ud83c\uddf7 #THFC #WOLTOT https://t.co/Wd0OlNFnuB,#WOLTOT
1576419344,"15' | #WOL 0-1 #TOTAdama with a sight of goal as he looks to bring Wolves level, he cuts inside from the right flank and fires a low left-footed effort towards goal but it's saved by Gazzaniga.#WOLTOT",#WOLTOT
1576419346,@big_billy_bagel @Huk06 It could be argued that he has just come off the bench but from the kick off. I'll get my coat........Taxi #COYS,#COYS
1576419346,Lucas Moura has scored three goals in his five Premier League matches under Jose Mourinho #THFC #COYS https://t.co/Xxm7CLMLYg,#COYS
1576419347,15mins inTechnically very sound ..Defensive Shape holding firm High press Goal to the good .#COYS,#COYS
1576419359,Anyone Looking For Wolves vs Tottenham #WOLTOT Streams?CLICK HERE \ud83d\udc49 https://t.co/qiXFSwfn6NDon't Forget to RT for More People! #Spurs #THFC #COYS Thanks https://t.co/zvYhPKLPTK,#WOLTOT
1576419361,Adama Traore looks like Hulk #WOLTOT,#WOLTOT
1576419368,This game could end 8-6. #COYS #EPL #FPL #WOLTOT,#COYS
1576419379,"Never mind the bad cross, Serge. Keep at it. We love your greenlight to attack! #COYS",#COYS
1576419380,@Dan_KP Caption this.https://t.co/gFWqDlRZ6I#WOLTOT https://t.co/r9pdQCSY6M,#WOLTOT
1576419381,14\u2019| \ud83d\udfe0#WOL 0-1 #TOT\u26aa\ufe0fAdama is released down the right and cuts in but his left footed shot does not trouble Gazzaniga.This game has plenty more goals in it\ud83d\udc40#WOLTOT,#WOLTOT
1576419401,The brilliant Brazilian strikes \ud83d\ude01 \ud83d\ude80 #COYS #WOLTOT https://t.co/QPD4qJXUtD,#COYS
1576419402,Adama Traore is built like a middleweight. #WOLTOT,#WOLTOT
1576419408,"Tottenham Hotspur are unnecessarily wearing their navy away shirt and shorts at Wolves, but they paired it with their white home socks. No reason why they couldn\u2019t wear their home kit in this fixture ... #WOLTOT #COYS @UniWatch @PhilHecken https://t.co/q7lWwBwpee",#WOLTOT
1576419409,Several Spurs with cement in their shoes today #COYS,#COYS
1576419409,#WOLTOT someone explain to me what goes through the brain of Aurier or Sissoko when they attempt a pass,#WOLTOT
1576419409,Frustrating this is. Spurs have had only one sniff at goal and scored a great one. We\u2019ve controlled the game outside of that in these first 15... guess that\u2019s why having world class players is massive. Fair play to them.#WWFC #THFC,#WWFC
1576419414,Live Streaming HD. Link Wolves Stream https://t.co/8lR22exy9vhttps://t.co/4wp7p5zShVEnjoy \ud83d\ude09 #Wolves #WWFC https://t.co/bvq70VFQtM,#WWFC
1576419433,Wolves\u2019 defenders are doing a lot of work with their hands...don\u2019t be surprised if they go in the book soon for a grab #THFC #COYS,#COYS
1576419434,"Lucas Moura, what a lad that\u2019s what happens when he starts #COYS",#COYS
1576419436,"We're \""cousins\"", but BOOOOOOOOOOOOOO Son! #WOLTOT #Wolves https://t.co/CAHNgC8Ac9",#WOLTOT
1576419443,A bolt from the Brazilian! \u26a1\ud83c\udde7\ud83c\uddf7This is a stunning solo effort from Lucas Moura.LIVE: https://t.co/aDBveUuhA2#WOLTOT #PremierLeague #OptusSport https://t.co/cu1pxG48sw,#WOLTOT
1576419449,"Sportsball morning - #WOLTOT #COYS, followed by old people's 5 aside, then #Seahawks",#WOLTOT
1576419459,GOAAAAAAAAAAAAAAAALWHAT A HIT!!!\ud83d\udfe0 #Wolves 0-1 #THFC \ud83d\udd35#WOLTOT,#WOLTOT
1576419462,Good start by Spurs. But we need to be strong defensively becuase Wolves are gonna test us alot #THFC #COYS #PremierLeague #PL #WOLTOT,#COYS
1576419467,"Finding it difficult to watch the match Live, click on my pinned tweet to watch Live NowWolves 0 vs Tottenham 1\ud83d\udd25 \ud83d\udd25#WOLTOT #COYS #PL #PremierLeague",#WOLTOT
1576419470,Energy in this game is great. Question is who burns out first? #COYS,#COYS
1576419473,Didn\u2019t realize Adama just got back from a cruise in the Caribbean. #WOLTOT,#WOLTOT
1576419475,When he plays from the start...He rips Wolves a new part...That's-a Moura.#COYS #WatchUsLoseNow,#COYS
1576419497,Jesus what a goal #WOLTOT https://t.co/vWaqD9JC1W,#WOLTOT
1576419503,Lucas with the lead \ud83d\ude80#WOLTOT https://t.co/WrnQJCfto8,#WOLTOT
1576419520,"Spurs have now led in 12 games this season but they've won just six of the previous 11.1-0 up, they are rated 64.9% chances to beat Wolves. Are they a back or a lay? https://t.co/z8YuQUYKxd #WOLTOT",#WOLTOT
1576419551,Moura's goal was very Defoe-esq #COYS,#COYS
1576419566,I wouldn't be shocked if Traore dresses like a 90's rapper #WOLTOT,#WOLTOT
1576419568,#WOLTOT 0-1 @LucasMoura7 goal,#WOLTOT
1576419571,Sorry for late Tweet I was tidy my room but GET IN @LucasMoura7 \ud83d\ude2c\ud83d\ude2c\ud83d\ude2c\ud83d\ude2c\ud83d\ude2c\ud83d\ude2c\ud83d\ude2c #COYS,#COYS
1576419584,"If this was an #AFL game, Tottenham\u2019s Clanger stat would be through the roof. #COYS #EPL #FPL #WOLTOT",#COYS
1576419585,Watch #WOLTOT on Universal tv hd available on App Store,#WOLTOT
1576419586,Adama Traoure is a stout mf #COYS #WOLTOT,#COYS
1576419588,"Starting to see Jose's influence in our defensive organisation. Clearer transition from attack to defence from the entire 11. Still work to do, but we look more capable of dealing with chances from the opposition. Let's hope we can keep this up for the entire 90. #COYS",#COYS
1576419590,"Some hit from Lucas...keep going boys, COYS #COYS",#COYS
1576419595,"What if, we add Gareth Bale to this team in January. Surely Mourinho leavedms Parrott out of the squad to tell Levy, \""look, we don't have attacking cover, we released Janssen, Llorente, Nkoudou.Did not replace. I want Bale... \""#COYS #thfc @SpursOfficialThoughts???",#COYS
1576419610,"Love the unchanged side, JoMo showing keep chopping and changing destroys players confidence and understanding.  #COYS",#COYS
1576419610,Going to be a tough day at the office for Jan #COYS,#COYS
1576419640,@LucasMoura7 makes fantastic finish for @SpursOfficial .0-1#WOLTOT,#WOLTOT
1576419640,Lucas Moura confirming what Mourinho told him and his team mates.Strong Mentality \ud83d\udcaa\ud83d\udc4f\ud83d\ude00@ValyrianCA@RickSpur#THFC#COYS \ud83d\udcaa,#COYS
1576419640,"Wolves clearly want to isolate Vertonghen against Traore, but so far Jan has been equal to the task #THFC #COYS",#COYS
1576419641,lucas: scorestottenham fans: lucas is shit and shouldnt even be playing...Unpopular opinion lucas is wankSUPPORT THE FUCKING PLAYERS!#COYS,#COYS
1576419647,A bolt from the Brazilian! \u26a1\ud83c\udde7\ud83c\uddf7This is a stunning solo effort from Lucas Moura. #WOLTOT https://t.co/c4ESyS01BS,#WOLTOT
1576419651,Appreciate Traore\u2019s commitment to looking as massive as possible by squeezing into a youth medium kit #WOLTOT,#WOLTOT
1576419654,Lucas moura on a pile driver level#WOLTOT,#WOLTOT
1576419657,"21' | #WOL 0-1 #TOTMoutinho crosses from the right wing and finds Jimenez, the striker tries to direct the ball goalwards but his glancing header misses wide across goal.#WOLTOT",#WOLTOT
1576419677,Adama Traor\u00e9 is like a runaway tank. Geez that\u2019s a big dude. #WOLTOT,#WOLTOT
1576419677,"Vertonghen will have his hands full, today...#COYS",#COYS
1576419687,40% of the ball...but solid in defense and good on the counter. Jose has Spurs playing his football.#WOLTOT,#WOLTOT
1576419702,#WOLTOT: 16' Signs of life from Wolves as Traore cuts in from the right and smashes a shot on goal but it is straight at Gazzaniga. @Wolves 0-1 @SpursOfficial#PremierLeague #PL #Spurs #THFC #Wolves,#WOLTOT
1576419707,"Harry Winks would be a Star in La Ligs, but Eric Dier gives #thfc that real strong under belly and adds a steel to our midfield and team. #COYS",#COYS
1576419708,"20\u2019 | \ud83d\udfe0#WOL 0-1 #TOT\u26aa\ufe0fWolves pressure is building!Mourinho cross from the right hand side finds Jimenez, who can\u2019t quite guide his header into the back of the net.#WOLTOT",#WOLTOT
1576419708,"I loved Poch, and found him a brilliant tactician (in past seasons), but he had his favourites. How Moura and Vertonghen weren\u2019t automatic starters, I\u2019ll never know. #COYS",#COYS
1576419710,I\u2019mma be the mascot for the last match of the season ay \ud83d\ude09\ud83d\ude0f #COYS,#COYS
1576419737,Interseting to see Aurier positioning himself slightly out of his comfort zone... At LM... \ud83e\udd37\u200d\u2642\ufe0f #COYS #THFC,#COYS
1576419746,\u00a1GOLLL del @SpursOfficial !  #LucasMoura anota el 0- 1\ufe0f\u20e3 al \u23f0 8.#WOLTOT  #PremierLeague  #Fecha17,#WOLTOT
1576419759,Asking for a yellow on that Lucas foul is crazy. \u201cCounter attack\u201d but with spurs having 6 behind the ball. Not much of a counter. #WOLTOT,#WOLTOT
1576419772,Off the blocks quick #COYS #yidarmy,#COYS
1576419773,The atmosphere at #Molineux is one of the best/underrated in the Premier League. Better than Old Trafford &amp; Anfield imo.  #Wolverhampton #WOLTOT,#WOLTOT
1576419779,Wolves pressing Spurs like Spurs pressed everyone in 2017/18. #COYS #EPL #FPL #WOLTOT,#COYS
