timestamp,text,hashtags
1574798409,Ronaldo with a hairband loooool #JuveAtleti,#JuveAtleti
1574798409,We have kick-off in #Juventus v #AtleticoMadrid !Liveblog https://t.co/dmXnFwSP3r #JuveAtleti #UCL #JUVATL https://t.co/YxqD1icclY,#JuveAtleti
1574798416,@SPNSportsIndia It's a Question or Death sentence....\ud83d\ude32\ud83d\ude15\ud83d\ude32\ud83d\ude15\ud83d\ude32\ud83d\ude15\ud83d\ude32\ud83d\ude15\ud83d\ude32\ud83d\ude15\ud83d\ude32\ud83d\ude15#RMAPSG #JuveAtleti,#JuveAtleti
1574798417,\ud83c\uddea\ud83c\uddfa - Most appearances in all European competitions188 - Iker Casillas175 - @Cristiano (+1)174 - Paolo Maldini #JuveAtleti #UCL,#JuveAtleti
1574798432,"How the hell am I supposed to watch #TOTOLY, #RMAPSG and #JuveAtleti all at the same time?! #UCL",#JuveAtleti
1574798436,"These European nights when Champions League anthem plays while you cuddle in your bed ,waiting for the action to unfold... \ud83e\udd17\ud83e\udd17\ud83e\udd17\ud83e\udd17\ud83e\udd17\ud83e\udd17What a Feeling !!!!! \u26bd\u26bd\u26bd\u26bd#JuveAtleti",#JuveAtleti
1574798446,"#ChampionsLeague \ud83d\udd25Watch Juventus vs Atl\u00e9tico, live stream \ud83d\udc47\ud83c\udffb\ud83d\ude0d Follow for more football updates \u2764\ufe0f\u00a1 #JuveAtleti #JuveAtletico#Ronaldo #UCL  https://t.co/4EaIMGVJe2",#JuveAtleti
1574798448,Let's go #JuveAtleti!,#JuveAtleti
1574798450,LIVE Now! Juventus vs Atletico Madrid Live stream #JuveAtleti #JuveAtletico #Juvatm #Juventus #ATM #Atleti #atleticodemadrid #livestream #livestreaming https://t.co/aBZrQfzoYp,#JuveAtleti
1574798450,an interesting matchup today. whatcha watching tonight?#UCL #RMvPSG #JuveAtleti,#JuveAtleti
1574798456,KICK-OFF! #Juventus 0-0 #AtleticoLIVE: https://t.co/Yj3HpdsKWC#MatchdayGoal #JuveAtleti #UCL https://t.co/f276OYPVgJ,#JuveAtleti
1574798473,\ud83c\uddea\ud83c\uddfa - Most appearances in all European competitions188 - Iker Casillas175 - @Cristiano (+1)174 - Paolo Maldini #JuveAtleti #UCL,#JuveAtleti
1574798484,That bald refree already looks sold out to Juv.  #JuveAtleti,#JuveAtleti
1574798486,Now! Juventus vs Atletico Madrid Live stream #JuveAtleti #JuveAtletico #Juvatm #Juventus #ATM #Atleti #atleticodemadrid #livestream #livestreaming https://t.co/aBZrQfzoYp,#JuveAtleti
1574798489,@juventusfcen Let's do it guys! #FinoAllaFine #ForzaJuve #JuveAtleti,#JuveAtleti
1574798494,Friends of PGS &amp; A. MADRID. #UCL #RMAPSG #RMPSG #JuveAtleti,#JuveAtleti
1574798521,Come on fellas @juventusfc. Let's get that W \ud83d\udd25#JuveAtleti,#JuveAtleti
1574798523,\u26bd\ufe0f #UCL - Europe \u26bd\ufe0f\u23f1\ufe0f 01' | The match gets underway!Juventus 0\u20e3Atletico Madrid 0\u20e3#JuveAtleti #ForzaJuve #AupaAtleti,#JuveAtleti
1574798535,Wait over for the Champions League night.Dying to see magic from @Cristiano #Ronaldo #Juventus #JuveAtleti #ChampionsLeague #CR7 https://t.co/tbjeY325gg,#JuveAtleti
1574798554,Definitely gon be changing channels between #RMAPSG and #JuveAtleti,#JuveAtleti
1574798573,Cristiano Ronaldo has got his hair band out again \ud83d\udc81\u200d\u2642\ufe0f#JuveAtleti https://t.co/4YTDkXqgqo,#JuveAtleti
1574798578,\u23f1\ufe0fC'est parti ! Juve 0\ufe0f\u20e3-0\ufe0f\u20e3 Atleti #JuveAtleti#LDC https://t.co/MWsX6lqa34,#JuveAtleti
1574798603,Cristiano Ronaldo has got his hair band out again \ud83d\udc81\u200d\u2642\ufe0f#JuveAtleti #UCL #CR7 https://t.co/I6tJGJkERZ,#JuveAtleti
1574798604,Does someone have a decent stream (not hesgoal)? #RMAPSG #MCISHK #JuveAtleti,#JuveAtleti
1574798617,"Really? Headband, huh. #JuveAtleti #FinoAllaFine",#JuveAtleti
1574798619,Trippeir pocketing Ronaldo embarrassing #Smh #JuveAtleti,#JuveAtleti
1574798628,You can fry samoosas with all that oil in Ronaldos hair #JuveAtleti,#JuveAtleti
1574798638,So funny when he trys. #JuveAtleti,#JuveAtleti
1574798641,This should be another classic #VivaRonaldo #JuveAtleti,#JuveAtleti
1574798642,Come On @Cristiano .... Waiting for another hatrick against Athletico Madrid #UCL #JuveAtleti,#JuveAtleti
1574798676,KicK OFF!!\u26bdJuventus \ud83c\udd9a Atletico Madrid\ud83d\udccd  #UCLJuventus vs Atletico Madrid Live Streamlink\u25ba https://t.co/pLBYAGK16Y \u2026live\u25ba https://t.co/mr6kPJ1dJo Juventus vs Atletico Madrid UEFA#UEFA  #UefaChampionsLeague #UCL #JuveAtleti https://t.co/7lqF2aZ5Qr,#JuveAtleti
1574798691,\ud83d\udde3 @NoContextHearn: You in the headband you are different gravy!\u201d#UCL #JuveAtleti https://t.co/M91M49aAVX,#JuveAtleti
1574798717,"Nice spell of possession from #Juve. If you have the ball, they can't score, and it's more tiring to chase the ball#JuveAtleti#UCL",#JuveAtleti
1574798739,I am waiting for de ligt's handball. #JuveAtleti,#JuveAtleti
1574798795,Too many juicy games being played at the same time including Olympiacos v Spurs &amp; Juventus v Athletico Madrid but I elect to watch Real Madrid v PSG! #UCL #RMPSG #JuveAtleti,#JuveAtleti
1574798801,"Watch Juventus vs Atl\u00e9tico, live stream \ud83d\udc47\ud83c\udffb\ud83d\ude0d Follow for more football updates \u2764\ufe0f #JuveAtleti #JuveAtletico#Ronaldo #UCL  https://t.co/QwMPnEGhjs",#JuveAtleti
1574798803,#JuveAtleti draw 0-0,#JuveAtleti
1574798842,"\ud83d\udde3 \""You in the headband you are different gravy!\u201d#UCL #JuveAtleti https://t.co/6pOX9uMDlP",#JuveAtleti
1574798845,Here! Juventus vs Atletico Madrid Live stream #JuveAtleti #JuveAtletico #Juvatm #Juventus #ATM #Atleti #atleticodemadrid #livestream #livestreaming https://t.co/aBZrQfzoYp,#JuveAtleti
1574798846,Partey is so good #JuveAtleti,#JuveAtleti
1574798856,"1st action from @cristiano? Poor dribbling attempt... come on Sarri, bring Higuain ffs #ChampionsLeague #JuveAtleti #Juvatm",#JuveAtleti
1574798914,Sarriball \ud83d\udc4c\ud83c\udffc\ud83d\udc4c\ud83c\udffc #JuveAtleti,#JuveAtleti
1574798916,"Real Madrid vs PSG or Juventus vs Atletico Madrid, which one are you watching? #RMAPSG #JuveAtleti",#JuveAtleti
1574798920,It would be nice if Atletico can pull off the upset today and win. #AupaAtleti #JuveAtleti #JuveAtletico #Atletico #AtleticoMadrid #Atleti https://t.co/UfKWw6rr9r,#JuveAtleti
