timestamp,text,hashtags
Fri Nov 15 00:35:42 +0000 2019,"RT @warriors: \u201cD\u2019Angelo Russell should teach some sort of floater class.\u201c\n\n#DubNation, class is in session \ud83d\udcda https://t.co/6DPBmTtUu1","#DubNation,"
Fri Nov 15 00:35:39 +0000 2019,Warriors!!! https://t.co/YOwrzyjWMQ,
Fri Nov 15 00:35:36 +0000 2019,RT @3Days3Nights: Q just posted this video image. Along with Ephesians 6:10-17. Prayer warriors come forward. God wouldn\u2019t tell us we neede\u2026,
Fri Nov 15 00:35:34 +0000 2019,RT @LakeShowWorld: .@KingJames doesn\u2019t feel sorry for the Warriors\ud83d\ude24\ud83d\udc51 #NoMercy \n\n\ud83d\udcfa: @SpectrumSN | #LakeShow https://t.co/iEl36CRlXu,"#NoMercy,#LakeShow,"
Fri Nov 15 00:35:34 +0000 2019,"RT @BR_NBA: 10 years ago today, Brandon Jennings lit up the Warriors for 55 points\n\nSet the rookie record for most points in a game \ud83d\udd25 https\u2026",
Fri Nov 15 00:35:34 +0000 2019,@smalltunghk Great Warriors!\n#FightForFreedom \n#StandWithHongKong \n#HongKongHumanRightsAndDemocracyAct,"#FightForFreedom,#StandWithHongKong,#HongKongHumanRightsAndDemocracyAct,"
Fri Nov 15 00:35:30 +0000 2019,RT @MAGA2ARIGHTS: IT'S HAPPENING... BREAKING: President Trump Meets with AG Bill Barr in Oval Office - Then Delays Departure and Calls in T\u2026,
Fri Nov 15 00:35:30 +0000 2019,RT @BandaiNamcoUS: We're bringing 5 game demos to @animenyc this weekend! \n\nStop by #AnimeNYC2019 Booth 738 &amp; 739 to play MY HERO ONE'S JUS\u2026,"#AnimeNYC2019,"
Fri Nov 15 00:35:28 +0000 2019,RT @BleacherReport: LeBron doesn\u2019t find it weird playing this version of the Warriors\n\n(via @kylegoon)\nhttps://t.co/FGO7wV43ix,
Fri Nov 15 00:35:27 +0000 2019,RT @AllOfTheBelts: \ud83c\udfa5 Arturo Gatti v Micky Ward l\n\nRound 9 was one of the most iconic moments in boxing history.\n\nTwo absolute warriors.\n\n h\u2026,
Fri Nov 15 00:35:24 +0000 2019,"RT @TheOnly_MAFO: Facts no excuses for the warriors, y\u2019all wanna celebrate when kyrie and love get hurt now enjoy the lottery https://t.co/\u2026",
Fri Nov 15 00:35:24 +0000 2019,RT @MAGA2ARIGHTS: IT'S HAPPENING... BREAKING: President Trump Meets with AG Bill Barr in Oval Office - Then Delays Departure and Calls in T\u2026,
